+------+--------------------+-------------+---------------+
| Rank |     Drug Name      | Target Name | Binding Score |
| 488  |    Cannflavin C    |    P43405   |      5.06     |
| 489  |      Luteolin      |    I7H3Z5   |      5.06     |
| 490  |    Cannflavin B    |    Q969H8   |      5.06     |
| 491  |      Luteolin      |    A0RZF9   |      5.06     |
| 492  |    Cannflavin A    |    P01589   |      5.05     |
| 493  |    Cannflavin B    |    P80511   |      5.05     |
| 494  |    Cannflavin C    |    Q5TBB1   |      5.05     |
| 495  |     Canniprene     |    Q3KP44   |      5.05     |
| 496  |    Cannflavin B    |    Q30156   |      5.05     |
| 497  |     Canniprene     |    Q4LE39   |      5.05     |
| 498  | 6-prenylnaringenin |    A2NVQ0   |      5.05     |
| 499  |    Cannflavin A    |    Q8N4C6   |      5.05     |
| 500  |      Luteolin      |    P58397   |      5.05     |
| 501  |    Cannflavin A    |    Q8NI89   |      5.05     |
| 502  |    Cannflavin B    |    Q16832   |      5.05     |
| 503  | Cannabistilbene I  |    P05231   |      5.05     |
| 504  |    Cannflavin A    |    P98066   |      5.05     |
| 505  |     Canniprene     |    A2NVP9   |      5.05     |
| 506  |     Quercetin      |    Q03519   |      5.04     |
| 507  |    Cannflavin A    |    B5A948   |      5.04     |
| 508  |    Cannflavin B    |    Q30048   |      5.04     |
| 509  |    Cannflavin B    |    P06702   |      5.04     |
| 510  |    Cannflavin B    |    Q8TDF6   |      5.04     |
| 511  | Cannabistilbene I  |    Q5TBB1   |      5.04     |
| 512  |     Canniprene     |    A0N5G7   |      5.04     |
| 513  |      Luteolin      |    Q9HC29   |      5.04     |
| 514  |    Cannflavin A    |    P16112   |      5.04     |
| 515  |     Quercetin      |    Q9BZZ2   |      5.04     |
| 516  |     Quercetin      |    P54760   |      5.04     |
| 517  |     Canniprene     |    Q13651   |      5.04     |
| 518  |    Cannflavin A    |    Q13444   |      5.04     |
| 519  |      Luteolin      |    A5LIN1   |      5.04     |
| 520  |     Quercetin      |    P08253   |      5.04     |
| 521  |     Quercetin      |    Q9NRY4   |      5.04     |
| 522  |     Canniprene     |    O00421   |      5.03     |
| 523  | 6-prenylnaringenin |    O95973   |      5.03     |
| 524  |     Quercetin      |    B5A952   |      5.03     |
| 525  | 6-prenylnaringenin |    P19438   |      5.03     |
| 526  |     Canniprene     |    P35590   |      5.03     |
| 527  |    Cannflavin C    |    B5A977   |      5.03     |
| 528  |     Quercetin      |    P14780   |      5.03     |
| 529  |     Canniprene     |    P01589   |      5.03     |
| 530  | Cannabistilbene I  |    B5A977   |      5.03     |
| 531  |    Cannflavin A    |    Q14789   |      5.03     |
| 532  | Cannabistilbene I  |    P43405   |      5.03     |
| 533  |     Quercetin      |    B5A954   |      5.03     |
| 534  |      Luteolin      |    Q8N6P7   |      5.03     |
| 535  |     Canniprene     |    Q8N4C6   |      5.03     |
| 536  |    Cannflavin A    |    A0RZG0   |      5.02     |
| 537  |     Canniprene     |    Q8NI89   |      5.02     |
| 538  |    Cannflavin A    |    Q99571   |      5.02     |
| 539  |     Canniprene     |    P98066   |      5.02     |
| 540  |    Cannflavin A    |    P48960   |      5.02     |
| 541  | 6-prenylnaringenin |    I7GSJ6   |      5.02     |
| 542  |    Cannflavin A    |    A0RZF9   |      5.02     |
| 543  |     Quercetin      |    B5A930   |      5.02     |
| 544  |    Cannflavin B    |    Q3KP44   |      5.02     |
| 545  |     Canniprene     |    B5A948   |      5.02     |
| 546  |     Quercetin      |    B5A924   |      5.02     |
| 547  |    Cannflavin C    |    A2NVQ0   |      5.02     |
| 548  |     Quercetin      |    B5A927   |      5.01     |
| 549  |    Cannflavin B    |    A0N5G7   |      5.01     |
| 550  |    Cannflavin A    |    I7H3Z5   |      5.01     |
| 551  |    Cannflavin A    |    Q9HC29   |      5.01     |
| 552  |    Cannflavin A    |    Q04912   |      5.01     |
| 553  |     Canniprene     |    P16112   |      5.01     |
| 554  |     Canniprene     |    Q14789   |      5.01     |
| 555  |     Hesperetin     |    Q5TBB1   |      5.01     |
| 556  |     Hesperetin     |    B5A977   |      5.01     |
| 557  | 6-prenylnaringenin |    Q02223   |      5.01     |
| 558  |     Canniprene     |    Q13444   |      5.01     |
| 559  |    Cannflavin B    |    Q92633   |      5.01     |
| 560  |     Quercetin      |    B5A929   |      5.01     |
| 561  | 6-prenylnaringenin |    Q30036   |      5.01     |
| 562  |    Cannflavin A    |    P45452   |      5.01     |
| 563  |     Hesperetin     |    P05231   |      5.01     |
| 564  |    Cannflavin B    |    A0RZF8   |      5.01     |
| 565  |     Quercetin      |    P01375   |      5.01     |
| 566  |     Quercetin      |    B5A953   |      5.01     |
| 567  |     Quercetin      |    Q92805   |      5.01     |
| 568  |     Quercetin      |    Q13568   |      5.00     |
| 569  |    Cannflavin A    |    P58397   |      5.00     |
| 570  |     Canniprene     |    A0RZG0   |      5.00     |
| 571  |    Cannflavin B    |    P41159   |      5.00     |
| 572  |     Canniprene     |    Q99571   |      5.00     |
| 573  |     Canniprene     |    P48960   |      5.00     |
| 574  |    Cannflavin B    |    P17948   |      5.00     |
| 575  |    Cannflavin B    |    O00329   |      5.00     |
| 576  |     Canniprene     |    A0RZF9   |      5.00     |
| 577  |      Luteolin      |    Q53HY9   |      5.00     |
| 578  |     Quercetin      |    Q687X5   |      5.00     |
| 579  |      Luteolin      |    A0N5G1   |      5.00     |
| 580  |     Quercetin      |    P21709   |      4.99     |
| 581  |    Cannflavin B    |    I7GY82   |      4.99     |
| 582  |     Quercetin      |    P54762   |      4.99     |
| 583  |     Quercetin      |    P09603   |      4.99     |
| 584  |     Hesperetin     |    P43405   |      4.99     |
| 585  |      Luteolin      |    P14784   |      4.99     |
| 586  |     Quercetin      |    P14174   |      4.99     |
| 587  |     Canniprene     |    Q9HC29   |      4.99     |
| 588  |    Cannflavin B    |    Q13651   |      4.99     |
| 589  |     Quercetin      |    B5A936   |      4.99     |
| 590  |    Cannflavin A    |    Q8N6P7   |      4.99     |
| 591  |    Cannflavin B    |    P01589   |      4.99     |
| 592  |    Cannflavin B    |    C0LTP6   |      4.99     |
| 593  |    Cannflavin A    |    A5LIN1   |      4.99     |
| 594  | Cannabistilbene I  |    A2NVQ0   |      4.99     |
| 595  |     Canniprene     |    I7H3Z5   |      4.99     |
| 596  |     Canniprene     |    Q04912   |      4.99     |
| 597  | 6-prenylnaringenin |    Q08345   |      4.99     |
| 598  |    Cannflavin B    |    P08581   |      4.98     |
| 599  |     Quercetin      |    Q86TM6   |      4.98     |
| 600  |     Canniprene     |    P45452   |      4.98     |
| 601  |      Luteolin      |    P49747   |      4.98     |
| 602  |     Canniprene     |    P58397   |      4.98     |
| 603  |    Cannflavin C    |    I7GSJ6   |      4.98     |
| 604  | 6-prenylnaringenin |    P26651   |      4.98     |
| 605  |      Luteolin      |    P29317   |      4.98     |
| 606  |     Quercetin      |    B5A934   |      4.98     |
| 607  |    Cannflavin B    |    Q9HC29   |      4.98     |
| 608  | 6-prenylnaringenin |    Q6LBF4   |      4.98     |
| 609  |    Cannflavin B    |    A2VED1   |      4.98     |
| 610  |    Cannflavin C    |    O95973   |      4.98     |
| 611  |    Cannflavin B    |    Q14839   |      4.98     |
| 612  |    Cannflavin C    |    Q96S37   |      4.97     |
| 613  | 6-prenylnaringenin |    Q4ZHG4   |      4.97     |
| 614  |     Quercetin      |    Q86YJ6   |      4.97     |
| 615  |     Quercetin      |    B5A951   |      4.97     |
| 616  |      Luteolin      |    Q03519   |      4.97     |
| 617  |      Luteolin      |    P02786   |      4.97     |
| 618  | 6-prenylnaringenin |    Q96S37   |      4.97     |
| 619  |     Canniprene     |    Q8N6P7   |      4.97     |
| 620  | 6-prenylnaringenin |    A0N5G5   |      4.97     |
| 621  |     Quercetin      |    B5A960   |      4.97     |
| 622  |     Canniprene     |    A5LIN1   |      4.97     |
| 623  | Cannabistilbene I  |    O95973   |      4.97     |
| 624  |    Cannflavin A    |    Q53HY9   |      4.96     |
| 625  |    Cannflavin B    |    A2NVP9   |      4.96     |
| 626  |    Cannflavin B    |    P35590   |      4.96     |
| 627  |     Quercetin      |    B5A933   |      4.96     |
| 628  |      Luteolin      |    P14174   |      4.96     |
| 629  |     Quercetin      |    B5A935   |      4.96     |
| 630  |    Cannflavin B    |    P16112   |      4.96     |
| 631  |    Cannflavin B    |    P48960   |      4.96     |
| 632  |    Cannflavin B    |    Q4LE39   |      4.96     |
| 633  |    Cannflavin A    |    A0N5G1   |      4.96     |
| 634  |      Luteolin      |    Q9BZZ2   |      4.96     |
| 635  | 6-prenylnaringenin |  A0A1S6KJG4 |      4.96     |
| 636  | 6-prenylnaringenin |    P22301   |      4.96     |
| 637  |     Quercetin      |    B5A931   |      4.96     |
| 638  |    Cannflavin B    |    P98066   |      4.96     |
| 639  | Cannabistilbene I  |    I7GSJ6   |      4.96     |
| 640  |     Hesperetin     |    A2NVQ0   |      4.96     |
| 641  |    Cannflavin B    |    Q8N4C6   |      4.96     |
| 642  |     Quercetin      |    B5A939   |      4.95     |
| 643  |    Cannflavin A    |    P14784   |      4.95     |
| 644  |     Quercetin      |    B5A937   |      4.95     |
| 645  |    Cannflavin B    |    A0RZG0   |      4.95     |
| 646  |    Cannflavin C    |    Q30036   |      4.95     |
| 647  |      Luteolin      |    Q9NRY4   |      4.95     |
| 648  | 6-prenylnaringenin |    P08887   |      4.95     |
| 649  |      Luteolin      |    B5A952   |      4.95     |
| 650  | 6-prenylnaringenin |    Q9UP52   |      4.95     |
| 651  |    Cannflavin B    |    B5A948   |      4.95     |
| 652  |    Cannflavin B    |    A0RZF9   |      4.95     |
| 653  |    Cannflavin B    |    Q14789   |      4.95     |
| 654  |    Cannflavin B    |    Q99571   |      4.95     |
| 655  |     Quercetin      |    Q96ER3   |      4.95     |
| 656  |     Quercetin      |    G1UCX3   |      4.95     |
| 657  |      Luteolin      |    P0DJI8   |      4.95     |
| 658  |     Quercetin      |    Q9C000   |      4.95     |
| 659  |     Quercetin      |    Q30035   |      4.94     |
| 660  |     Canniprene     |    Q53HY9   |      4.94     |
| 661  | 6-prenylnaringenin |    B5A928   |      4.94     |
| 662  | Cannabistilbene I  |    P19438   |      4.94     |
| 663  |    Cannflavin B    |    Q13444   |      4.94     |
| 664  |    Cannflavin A    |    P49747   |      4.94     |
| 665  |     Hesperetin     |    O95973   |      4.94     |
| 666  |     Quercetin      |    Q5VWK5   |      4.94     |
| 667  | Cannabistilbene I  |    Q30036   |      4.94     |
| 668  |    Cannflavin B    |    Q8NI89   |      4.94     |
| 669  |    Cannflavin C    |    Q08345   |      4.94     |
| 670  |    Cannflavin A    |    Q03519   |      4.94     |
| 671  |     Quercetin      |    O14802   |      4.94     |
| 672  |     Quercetin      |    B5A938   |      4.94     |
| 673  |     Canniprene     |    A0N5G1   |      4.94     |
| 674  |      Luteolin      |    B5A954   |      4.94     |
| 675  |      Luteolin      |    P20810   |      4.94     |
| 676  |    Cannflavin A    |    P29317   |      4.94     |
| 677  |     Quercetin      |    Q16552   |      4.94     |
| 678  |    Cannflavin A    |    P14174   |      4.94     |
| 679  |     Hesperetin     |    P19438   |      4.94     |
| 680  | Cannabistilbene I  |    Q02223   |      4.93     |
| 681  | Cannabistilbene I  |    Q96S37   |      4.93     |
| 682  |    Cannflavin A    |    P02786   |      4.93     |
| 683  |      Luteolin      |    B5A930   |      4.93     |
| 684  | 6-prenylnaringenin |    Q9UKP4   |      4.93     |
| 685  |     Quercetin      |    Q12841   |      4.93     |
| 686  |      Luteolin      |    B5A927   |      4.93     |
| 687  |     Canniprene     |    P14784   |      4.93     |
| 688  |     Quercetin      |    P50281   |      4.93     |
| 689  | 6-prenylnaringenin |    O60880   |      4.93     |
| 690  |    Cannflavin C    |    Q02223   |      4.93     |
| 691  |    Cannflavin A    |    Q9BZZ2   |      4.93     |
| 692  |    Cannflavin B    |    O00421   |      4.93     |
| 693  |     Hesperetin     |    I7GSJ6   |      4.93     |
| 694  |     Quercetin      |    A0N5G2   |      4.93     |
| 695  | 6-prenylnaringenin |    P10721   |      4.92     |
| 696  |    Cannflavin C    |    P19438   |      4.92     |
| 697  |     Quercetin      |    K4RH61   |      4.92     |
| 698  | 6-prenylnaringenin |    P01584   |      4.92     |
| 699  |      Luteolin      |    B5A929   |      4.92     |
| 700  |     Hesperetin     |    Q02223   |      4.92     |
| 701  |      Luteolin      |    B5A953   |      4.92     |
| 702  |     Canniprene     |    P14174   |      4.92     |
| 703  |    Cannflavin C    |    Q6LBF4   |      4.92     |
| 704  |      Luteolin      |    Q13568   |      4.92     |
| 705  |    Cannflavin B    |    I7H3Z5   |      4.92     |
| 706  |    Cannflavin B    |    P14174   |      4.92     |
| 707  |     Canniprene     |    P49747   |      4.92     |
| 708  |     Quercetin      |    Q9NV23   |      4.92     |
| 709  |     Canniprene     |    Q03519   |      4.92     |
| 710  |     Quercetin      |    Q8WVB3   |      4.92     |
| 711  |     Canniprene     |    P29317   |      4.92     |
| 712  |    Cannflavin A    |    B5A952   |      4.92     |
| 713  |    Cannflavin A    |    Q9NRY4   |      4.92     |
| 714  | Cannabistilbene I  |    Q08345   |      4.92     |
| 715  |    Cannflavin B    |    Q8N6P7   |      4.92     |
| 716  |     Hesperetin     |    Q30036   |      4.92     |
| 717  |     Quercetin      |    P20333   |      4.92     |
| 718  |      Luteolin      |    Q687X5   |      4.91     |
| 719  | 6-prenylnaringenin |    Q8WUM9   |      4.91     |
| 720  |      Luteolin      |    P09603   |      4.91     |
| 721  |     Canniprene     |    P02786   |      4.91     |
| 722  | Cannabistilbene I  |    Q6LBF4   |      4.91     |
| 723  |    Cannflavin C    |    P07333   |      4.91     |
| 724  |      Luteolin      |    P14780   |      4.91     |
| 725  |      Luteolin      |    P54760   |      4.91     |
| 726  |    Cannflavin C    |    P26651   |      4.91     |
| 727  |    Cannflavin A    |    P0DJI8   |      4.91     |
| 728  |    Cannflavin B    |    P58397   |      4.91     |
| 729  | 6-prenylnaringenin |    P07333   |      4.91     |
| 730  |      Luteolin      |    B5A936   |      4.91     |
| 731  |     Quercetin      |    Q9NY25   |      4.91     |
| 732  |      Luteolin      |    Q9C000   |      4.91     |
| 733  | Cannabistilbene I  |    P26651   |      4.90     |
| 734  |     Canniprene     |    Q9BZZ2   |      4.90     |
| 735  |     Quercetin      |    Q86VB7   |      4.90     |
| 736  |     Quercetin      |    P05109   |      4.90     |
| 737  |    Cannflavin B    |    Q53HY9   |      4.90     |
| 738  |    Cannflavin C    |    A0N5G5   |      4.90     |
| 739  |    Cannflavin A    |    B5A927   |      4.90     |
| 740  |    Cannflavin A    |    B5A954   |      4.90     |
| 741  |    Cannflavin B    |    Q04912   |      4.90     |
| 742  | 6-prenylnaringenin |    P55774   |      4.90     |
| 743  |      Luteolin      |    B5A924   |      4.90     |
| 744  |    Cannflavin C    |  A0A1S6KJG4 |      4.90     |
| 745  |    Cannflavin A    |    B5A930   |      4.90     |
| 746  |     Canniprene     |    B5A952   |      4.90     |
| 747  |    Cannflavin B    |    A5LIN1   |      4.90     |
| 748  |     Canniprene     |    Q9NRY4   |      4.90     |
| 749  |     Hesperetin     |    Q96S37   |      4.90     |
| 750  | Cannabistilbene I  |    A0N5G5   |      4.90     |
| 751  |     Quercetin      |    B5A959   |      4.90     |
| 752  |      Luteolin      |    P01375   |      4.89     |
| 753  |      Luteolin      |    Q86TM6   |      4.89     |
| 754  |    Cannflavin C    |    Q4ZHG4   |      4.89     |
| 755  |    Cannflavin A    |    P20810   |      4.89     |
| 756  |      Luteolin      |    B5A934   |      4.89     |
| 757  | 6-prenylnaringenin |    Q30047   |      4.89     |
| 758  | Cannabistilbene I  |  A0A1S6KJG4 |      4.89     |
| 759  | Cannabistilbene I  |    Q4ZHG4   |      4.89     |
| 760  |      Luteolin      |    P21709   |      4.89     |
| 761  | 6-prenylnaringenin |    Q30201   |      4.89     |
| 762  |      Luteolin      |    P54762   |      4.89     |
| 763  |    Cannflavin C    |  A0A0A1I7H6 |      4.89     |
| 764  |    Cannflavin A    |    Q13568   |      4.89     |
| 765  | 6-prenylnaringenin |  A0A0A1I7H6 |      4.89     |
| 766  | 6-prenylnaringenin |    A0N5G4   |      4.89     |
| 767  | 6-prenylnaringenin |    Q96P20   |      4.89     |
| 768  |      Luteolin      |    Q92805   |      4.89     |
| 769  |    Cannflavin A    |    B5A929   |      4.89     |
| 770  |    Cannflavin C    |    Q9MYB9   |      4.89     |
| 771  |     Quercetin      |    P55085   |      4.89     |
| 772  |     Hesperetin     |    P26651   |      4.89     |
| 773  |     Quercetin      |    Q6DN72   |      4.89     |
| 774  |    Cannflavin A    |    B5A953   |      4.89     |
| 775  | 6-prenylnaringenin |    Q9MYB9   |      4.89     |
| 776  |     Hesperetin     |    Q6LBF4   |      4.89     |
| 777  |     Canniprene     |    P0DJI8   |      4.88     |
| 778  | Cannabistilbene I  |    P22301   |      4.88     |
| 779  |     Quercetin      |    Q9NSU2   |      4.88     |
| 780  |     Hesperetin     |    Q08345   |      4.88     |
| 781  | 6-prenylnaringenin |    Q9BX67   |      4.88     |
| 782  |    Cannflavin C    |    P22301   |      4.88     |
| 783  |    Cannflavin A    |    Q687X5   |      4.88     |
| 784  |     Quercetin      |    Q8IUL8   |      4.88     |
| 785  |      Luteolin      |    A0N5G2   |      4.88     |
| 786  |    Cannflavin B    |    A0N5G1   |      4.88     |
| 787  |    Cannflavin A    |    P09603   |      4.88     |
| 788  |    Cannflavin C    |    Q9UP52   |      4.88     |
| 789  |     Quercetin      |    P02766   |      4.88     |
| 790  |     Canniprene     |    B5A927   |      4.88     |
| 791  |    Cannflavin B    |    Q03519   |      4.88     |
| 792  |     Quercetin      |    Q9BUI4   |      4.88     |
| 793  |      Luteolin      |    B5A933   |      4.88     |
| 794  |      Luteolin      |    B5A935   |      4.88     |
| 795  | 6-prenylnaringenin |    E1CJT3   |      4.88     |
| 796  | Cannabistilbene I  |    P08887   |      4.88     |
| 797  |     Canniprene     |    B5A930   |      4.88     |
| 798  |    Cannflavin C    |    P08887   |      4.88     |
| 799  | Cannabistilbene I  |    Q9UP52   |      4.88     |
| 800  |      Luteolin      |    B5A931   |      4.88     |
| 801  |     Quercetin      |    Q08334   |      4.88     |
| 802  |     Hesperetin     |    A0N5G5   |      4.87     |
| 803  |     Canniprene     |    B5A954   |      4.87     |
| 804  |      Luteolin      |    Q8WVB3   |      4.87     |
| 805  |    Cannflavin A    |    B5A936   |      4.87     |
| 806  |    Cannflavin A    |    Q9C000   |      4.87     |
| 807  |      Luteolin      |    B5A951   |      4.87     |
| 808  | Cannabistilbene I  |    P07333   |      4.87     |
| 809  |     Canniprene     |    P20810   |      4.87     |
| 810  |      Luteolin      |    B5A937   |      4.87     |
| 811  |    Cannflavin B    |    P14784   |      4.87     |
| 812  |      Luteolin      |    B5A939   |      4.87     |
| 813  | Cannabistilbene I  |    B5A928   |      4.87     |
| 814  |     Hesperetin     |    Q4ZHG4   |      4.87     |
| 815  |     Quercetin      |    A0N5G3   |      4.87     |
| 816  |    Cannflavin C    |    B5A928   |      4.87     |
| 817  | 6-prenylnaringenin |    P35968   |      4.87     |
| 818  |     Hesperetin     |    P22301   |      4.87     |
| 819  |      Luteolin      |    Q96ER3   |      4.87     |
| 820  |      Luteolin      |    G1UCX3   |      4.87     |
| 821  |     Canniprene     |    Q13568   |      4.87     |
| 822  |    Cannflavin C    |    Q8WUM9   |      4.87     |
| 823  |     Hesperetin     |  A0A1S6KJG4 |      4.87     |
| 824  |      Luteolin      |    P08253   |      4.87     |
| 825  |      Luteolin      |    B5A960   |      4.87     |
| 826  | 6-prenylnaringenin |    Q13546   |      4.87     |
| 827  |     Canniprene     |    B5A929   |      4.87     |
| 828  |    Cannflavin B    |    Q9BZZ2   |      4.87     |
| 829  |      Luteolin      |    Q30035   |      4.87     |
| 830  |    Cannflavin A    |    P14780   |      4.86     |
| 831  |     Quercetin      |    B5A961   |      4.86     |
| 832  |     Quercetin      |    B5A941   |      4.86     |
| 833  | 6-prenylnaringenin |    P01374   |      4.86     |
| 834  |      Luteolin      |    Q86YJ6   |      4.86     |
| 835  |     Canniprene     |    Q687X5   |      4.86     |
| 836  |      Luteolin      |    Q16552   |      4.86     |
| 837  |    Cannflavin A    |    P54760   |      4.86     |
| 838  |     Canniprene     |    B5A953   |      4.86     |
| 839  |     Quercetin      |    Q9HCJ1   |      4.86     |
| 840  |     Quercetin      |    Q14765   |      4.86     |
| 841  |    Cannflavin C    |    P01584   |      4.86     |
| 842  |    Cannflavin C    |    O60880   |      4.86     |
| 843  |    Cannflavin A    |    B5A934   |      4.86     |
| 844  |    Cannflavin A    |    Q86TM6   |      4.86     |
| 845  | Cannabistilbene I  |    O60880   |      4.86     |
| 846  |     Canniprene     |    P09603   |      4.86     |
| 847  |     Hesperetin     |    P08887   |      4.86     |
| 848  |      Luteolin      |    B5A938   |      4.86     |
| 849  |    Cannflavin A    |    B5A924   |      4.86     |
| 850  |     Quercetin      |    Q9BYX4   |      4.86     |
| 851  |      Luteolin      |    O14802   |      4.86     |
| 852  |    Cannflavin B    |    P49747   |      4.86     |
| 853  |      Luteolin      |    Q5VWK5   |      4.85     |
| 854  |     Quercetin      |    P19823   |      4.85     |
| 855  | Cannabistilbene I  |    P01584   |      4.85     |
| 856  |    Cannflavin B    |    B5A952   |      4.85     |
| 857  | Cannabistilbene I  |  A0A0A1I7H6 |      4.85     |
| 858  |    Cannflavin B    |    P29317   |      4.85     |
| 859  |     Hesperetin     |    Q9UP52   |      4.85     |
| 860  |    Cannflavin A    |    A0N5G2   |      4.85     |
| 861  |     Quercetin      |    O15553   |      4.85     |
| 862  |     Quercetin      |    Q8TCW4   |      4.85     |
| 863  |     Canniprene     |    B5A936   |      4.85     |
| 864  |    Cannflavin B    |    P45452   |      4.85     |
| 865  |    Cannflavin A    |    P21709   |      4.85     |
| 866  | Cannabistilbene I  |    Q9MYB9   |      4.85     |
| 867  |    Cannflavin A    |    P01375   |      4.85     |
| 868  |    Cannflavin B    |    P02786   |      4.85     |
| 869  |    Cannflavin A    |    P54762   |      4.85     |
| 870  |     Canniprene     |    Q9C000   |      4.85     |
| 871  |     Hesperetin     |    B5A928   |      4.85     |
| 872  |     Quercetin      |    B5A943   |      4.85     |
| 873  |    Cannflavin B    |    Q9NRY4   |      4.85     |
| 874  | Cannabistilbene I  |    Q8WUM9   |      4.85     |
| 875  |    Cannflavin C    |    E1CJT3   |      4.85     |
| 876  | Cannabistilbene I  |    Q9UKP4   |      4.85     |
| 877  |    Cannflavin A    |    Q92805   |      4.85     |
| 878  |    Cannflavin A    |    B5A935   |      4.85     |
| 879  |    Cannflavin A    |    B5A933   |      4.85     |
| 880  | 6-prenylnaringenin |    O75370   |      4.85     |
| 881  |    Cannflavin A    |    B5A931   |      4.84     |
| 882  |    Cannflavin C    |    Q9UKP4   |      4.84     |
| 883  |     Canniprene     |    P14780   |      4.84     |
| 884  |    Cannflavin A    |    Q8WVB3   |      4.84     |
| 885  |      Luteolin      |    Q9NV23   |      4.84     |
| 886  |     Canniprene     |    P54760   |      4.84     |
| 887  |      Luteolin      |    Q86VB7   |      4.84     |
| 888  | 6-prenylnaringenin |    Q3KP44   |      4.84     |
| 889  | 6-prenylnaringenin |    A0N5G7   |      4.84     |
| 890  |     Canniprene     |    B5A934   |      4.84     |
| 891  |    Cannflavin A    |    B5A937   |      4.84     |
| 892  |     Hesperetin     |    O60880   |      4.84     |
| 893  |     Canniprene     |    B5A924   |      4.84     |
| 894  | 6-prenylnaringenin |    P01911   |      4.84     |
| 895  |    Cannflavin A    |    Q96ER3   |      4.84     |
| 896  |    Cannflavin A    |    G1UCX3   |      4.84     |
| 897  |    Cannflavin B    |    B5A927   |      4.84     |
| 898  |    Cannflavin A    |    B5A939   |      4.84     |
| 899  |     Canniprene     |    Q86TM6   |      4.84     |
| 900  |     Quercetin      |    P02794   |      4.84     |
| 901  | 6-prenylnaringenin |    I7HB73   |      4.84     |
| 902  | 6-prenylnaringenin |    A2VED2   |      4.84     |
| 903  |    Cannflavin A    |    Q30035   |      4.84     |
| 904  |     Hesperetin     |    P07333   |      4.84     |
| 905  |      Luteolin      |    P50281   |      4.84     |
| 906  |    Cannflavin A    |    B5A951   |      4.83     |
| 907  |    Cannflavin C    |    P01911   |      4.83     |
| 908  |     Canniprene     |    A0N5G2   |      4.83     |
| 909  |     Quercetin      |    O75339   |      4.83     |
| 910  |     Hesperetin     |    P01584   |      4.83     |
| 911  | 6-prenylnaringenin |    Q9HBA0   |      4.83     |
| 912  | 6-prenylnaringenin |    P09619   |      4.83     |
| 913  |     Quercetin      |    O75792   |      4.83     |
| 914  |    Cannflavin A    |    Q16552   |      4.83     |
| 915  |      Luteolin      |    K4RH61   |      4.83     |
| 916  |     Quercetin      |    B5A982   |      4.83     |
| 917  |     Canniprene     |    P54762   |      4.83     |
| 918  |     Canniprene     |    P01375   |      4.83     |
| 919  |     Hesperetin     |    Q9UKP4   |      4.83     |
| 920  |     Canniprene     |    Q92805   |      4.83     |
| 921  |      Luteolin      |    P20333   |      4.83     |
| 922  |    Cannflavin A    |    B5A960   |      4.83     |
| 923  | 6-prenylnaringenin |    Q30048   |      4.83     |
| 924  |    Cannflavin C    |    A0N5G4   |      4.83     |
| 925  | 6-prenylnaringenin |  A0A5K1TT58 |      4.83     |
| 926  |      Luteolin      |    Q12841   |      4.83     |
| 927  | Cannabistilbene I  |    P55774   |      4.83     |
| 928  |    Cannflavin C    |    P55774   |      4.83     |
| 929  |     Canniprene     |    P21709   |      4.83     |
| 930  |     Canniprene     |    B5A935   |      4.83     |
| 931  |    Cannflavin C    |    Q30047   |      4.83     |
| 932  |     Canniprene     |    B5A933   |      4.83     |
| 933  |    Cannflavin A    |    Q86YJ6   |      4.83     |
| 934  |    Cannflavin A    |    B5A938   |      4.83     |
| 935  |    Cannflavin B    |    Q9C000   |      4.83     |
| 936  |    Cannflavin B    |    Q687X5   |      4.82     |
| 937  |     Canniprene     |    B5A931   |      4.82     |
| 938  |    Cannflavin C    |    Q13546   |      4.82     |
| 939  | Cannabistilbene I  |    Q30201   |      4.82     |
| 940  |    Cannflavin B    |    Q13568   |      4.82     |
| 941  |     Quercetin      |    P41240   |      4.82     |
| 942  |     Hesperetin     |    Q8WUM9   |      4.82     |
| 943  | Cannabistilbene I  |    E1CJT3   |      4.82     |
| 944  |    Cannflavin A    |    Q5VWK5   |      4.82     |
| 945  |    Cannflavin B    |    B5A954   |      4.82     |
| 946  | Cannabistilbene I  |    A0N5G4   |      4.82     |
| 947  | Cannabistilbene I  |    Q30047   |      4.82     |
| 948  |     Canniprene     |    Q8WVB3   |      4.82     |
| 949  | 6-prenylnaringenin |    P06702   |      4.82     |
| 950  |    Cannflavin C    |    P01374   |      4.82     |
| 951  |    Cannflavin B    |    B5A930   |      4.82     |
| 952  |     Quercetin      |    Q8NIA0   |      4.82     |
| 953  |     Quercetin      |    Q9H015   |      4.82     |
| 954  |    Cannflavin C    |    Q9BX67   |      4.82     |
| 955  |    Cannflavin A    |    O14802   |      4.82     |
| 956  |      Luteolin      |    Q6DN72   |      4.82     |
| 957  |     Quercetin      |    B5A942   |      4.82     |
| 958  |    Cannflavin B    |    P0DJI8   |      4.82     |
| 959  |     Hesperetin     |  A0A0A1I7H6 |      4.82     |
| 960  |     Quercetin      |    Q8TCW3   |      4.82     |
| 961  |     Canniprene     |    Q30035   |      4.82     |
| 962  | 6-prenylnaringenin |    Q9HC29   |      4.82     |
| 963  |      Luteolin      |    Q9NY25   |      4.82     |
| 964  | 6-prenylnaringenin |    Q30157   |      4.82     |
| 965  |     Canniprene     |    B5A937   |      4.82     |
| 966  |      Luteolin      |    B5A959   |      4.82     |
| 967  |     Canniprene     |    Q96ER3   |      4.82     |
| 968  |     Canniprene     |    G1UCX3   |      4.82     |
